model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
overall-llama3_8b_instruct_stateval_15_zero-shot,0.25021,0.20833,0.0625,0.16949,0.02049,0.7529
overall-llama3_8b_stateval_1_5_one-shot-CoT,0.33362,0.23214,0.10938,0.1822,0.20902,0.87645
overall-llama2_7b_stateval_0_5_one-shot,0.14703,0.0119,0.04297,0.07203,0.21721,0.33977
overall-llama3_8b_zero-shot,0.25795,0.0119,0.00391,0.16525,0.2377,0.7722
overall-llama2_7b_one-shot,0.14961,0.00595,0.0625,0.05932,0.19262,0.37066
overall-llama3_8b_instruct_stateval_0_5_zero-shot,0.14531,0.1131,0.14062,0.09746,0.04508,0.30888
overall-llama3_8b_stateval_15_stats-prompt,0.32932,0.29762,0.14062,0.22458,0.13525,0.81467
overall-llama3_8b_instruct_sft_1_6_zero-shot,0.7558,0.56548,0.625,0.83898,0.7582,0.9305
overall-llama3_8b_instruct_zero-shot-CoT,0.11436,0.16667,0.12109,0.08051,0.0041,0.20849
overall-llama3_8b_stateval_15_zero-shot,0.24678,0.04762,0.0,0.17373,0.13934,0.78764
overall-llama3_8b_instruct_sft_stateval_1_5_zero-shot,0.80911,0.89881,0.54297,0.86017,0.83197,0.94595
overall-llama3_8b_zero-shot-CoT,0.22012,0.0119,0.125,0.14407,0.13934,0.59459
overall-llama2_7b_stateval_15_one-shot,0.17455,0.02381,0.05469,0.09746,0.2418,0.39768
overall-llama2_13b_one-shot,0.17971,0.09524,0.05469,0.09322,0.02049,0.58687
overall-llama2_7b_stateval_5_0_zero-shot,0.10318,0.0119,0.02344,0.02966,0.11475,0.2973
overall-llama2_7b_sft_280_zero-shot,0.00086,0.0,0.0,0.00424,0.0,0.0
overall-llama2_7b_stateval_0_5_one-shot-CoT,0.14101,0.01786,0.05078,0.05508,0.20082,0.33205
overall-llama2_7b_stateval_1_5_zero-shot,0.11006,0.01786,0.01562,0.0339,0.15164,0.29344
overall-llama3_8b_stateval_sft_zero-shot,0.81599,0.89881,0.67969,0.88559,0.68852,0.95367
overall-llama2_7b_sft_16_zero-shot,0.66122,0.60714,0.47266,0.80085,0.5123,0.89575
overall-llama3_8b_sft_logic_zero-shot,0.89166,0.8869,0.80859,0.88136,0.92213,0.95753
overall-llama3_8b_instruct_sft_16_zero-shot,0.81255,0.75595,0.62891,0.88983,0.82787,0.94595
overall-llama2_7b_sft_160_zero-shot,0.50903,0.4881,0.35938,0.58898,0.38525,0.71429
overall-llama3_8b_instruct_sft_stateval_0_5_zero-shot,0.82459,0.91071,0.58594,0.87288,0.83197,0.95367
overall-llama3_8b_instruct_sft_89_zero-shot,0.69475,0.76786,0.5,0.78814,0.54098,0.89961
overall-llama3_8b_stateval_0_5_one-shot-CoT,0.31298,0.21429,0.17969,0.16525,0.10656,0.83784
overall-llama3_8b_sft_1_6_zero-shot,0.76268,0.74405,0.59766,0.82627,0.68033,0.95753
overall-llama2_7b_stateval_1_5_one-shot,0.16337,0.0119,0.03125,0.09746,0.22951,0.38996
overall-llama2_7b_stateval_0_5_stats-prompt,0.14187,0.0,0.08203,0.07627,0.14754,0.34749
overall-llama3_8b_stateval_15_zero-shot-CoT,0.24334,0.04167,0.01172,0.17797,0.09426,0.80309
overall-llama3_8b_instruct_stateval_0_5_stats-prompt,0.30181,0.21429,0.23047,0.21186,0.06967,0.72973
overall-llama3_8b_sft_stateval_15_zero-shot,0.77816,0.75,0.69531,0.88559,0.59836,0.94981
overall-llama3_8b_instruct_sft_stateval_5_0_zero-shot,0.80396,0.89286,0.50391,0.87288,0.84426,0.94208
overall-llama3_8b_stateval_0_5_one-shot,0.32932,0.20238,0.08984,0.19068,0.2582,0.8417
overall-llama3_8b_sft_2_8_zero-shot,0.76354,0.79167,0.63672,0.85593,0.58197,0.95753
overall-llama2_7b_stateval_1_5_zero-shot-CoT,0.07395,0.02381,0.01172,0.02119,0.09016,0.20077
overall-llama3_8b_sft_5_0_zero-shot,0.77042,0.80952,0.64844,0.86441,0.57787,0.96139
overall-llama3_8b_stateval_0_5_zero-shot-CoT,0.25021,0.02976,0.125,0.14407,0.17213,0.68726
overall-llama3_8b_instruct_stateval_15_stats-prompt,0.33448,0.2619,0.17578,0.27119,0.11066,0.80695
overall-llama3_8b_instruct_stateval_15_one-shot-CoT,0.31556,0.28571,0.15625,0.17373,0.06967,0.85328
overall-llama2_7b_stats-prompt,0.16079,0.00595,0.07812,0.09322,0.18443,0.38224
overall-llama3_8b_stateval_1_5_zero-shot,0.27085,0.02381,0.0,0.16525,0.2582,0.80695
overall-llama3_8b_sft_89_zero-shot,0.6896,0.72619,0.57812,0.76695,0.51639,0.86873
overall-llama3_8b_instruct_stateval_5_0_zero-shot-CoT,0.26655,0.2381,0.15234,0.14831,0.0082,0.74903
overall-llama2_7b_sft_2_8_zero-shot,0.61479,0.52381,0.36719,0.79237,0.5041,0.861
overall-llama2_13b_stats-prompt,0.20206,0.08333,0.07031,0.16525,0.11475,0.5251
overall-llama3_8b_instruct_stateval_1_5_one-shot-CoT,0.30439,0.26786,0.18359,0.13983,0.05328,0.83398
overall-llama3_8b_sft_8_9_zero-shot,0.77644,0.84524,0.65625,0.87712,0.55738,0.96525
overall-llama2_7b_stateval_0_5_zero-shot-CoT,0.04901,0.02381,0.00781,0.01271,0.06967,0.11969
overall-llama3_8b_instruct_zero-shot,0.09974,0.08333,0.10938,0.05508,0.0041,0.23166
overall-llama2_7b_sft_logic_zero-shot,0.75752,0.68452,0.71484,0.70339,0.81557,0.8417
overall-llama3_8b_instruct_sft_logic_zero-shot,0.88736,0.91667,0.78516,0.87288,0.91803,0.95367
overall-llama3_8b_instruct_sft_stateval_15_zero-shot,0.80224,0.89286,0.50781,0.87712,0.84836,0.92278
overall-llama3_8b_instruct_stateval_1_5_one-shot,0.26483,0.20833,0.10938,0.11441,0.06967,0.77606
overall-llama2_7b_sft_50_zero-shot,0.68014,0.75595,0.48828,0.75,0.54098,0.88803
overall-llama3_8b_stateval_5_0_one-shot,0.32674,0.22619,0.06641,0.18644,0.2459,0.85328
overall-llama2_7b_stateval_1_5_stats-prompt,0.15305,0.0,0.03125,0.11864,0.14754,0.40927
overall-llama3_8b_instruct_stateval_1_5_zero-shot-CoT,0.19604,0.17857,0.15625,0.10169,0.02049,0.49807
overall-llama3_8b_stateval_0_5_zero-shot,0.26569,0.0119,0.0,0.16525,0.2541,0.79537
overall-llama2_13b_one-shot-CoT,0.20378,0.125,0.10547,0.12288,0.0123,0.60618
overall-llama3_8b_one-shot-CoT,0.27343,0.21429,0.16797,0.13136,0.06148,0.74517
overall-llama3_8b_instruct_stateval_0_5_one-shot-CoT,0.31298,0.30952,0.19141,0.15254,0.06557,0.81467
overall-llama2_7b_zero-shot-CoT,0.07653,0.0119,0.01172,0.02119,0.11475,0.19691
overall-llama2_13b_zero-shot-CoT,0.09372,0.03571,0.01953,0.08051,0.03689,0.27027
overall-llama3_8b_sft_50_zero-shot,0.78332,0.86905,0.67969,0.86017,0.58607,0.94595
overall-llama2_7b_sft_28_zero-shot,0.6896,0.70833,0.56641,0.76695,0.52049,0.88803
overall-llama2_7b_zero-shot,0.08083,0.01786,0.01172,0.02119,0.06967,0.25483
