model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
methods-llama3_8b_one-shot-CoT,0.29493,0.24405,0.1875,0.14407,0.08197,0.7722
methods-llama2_7b_sft_8_9_zero-shot,0.77128,0.76786,0.60547,0.90254,0.60246,0.97683
methods-llama2_7b_stateval_1_5_one-shot-CoT,0.27343,0.1131,0.0625,0.11864,0.44672,0.56371
methods-llama3_8b_stateval_15_one-shot-CoT,0.35082,0.30357,0.08594,0.21186,0.20492,0.90734
methods-llama3_8b_sft_5_0_zero-shot,0.80396,0.85119,0.70703,0.87712,0.62295,0.97297
methods-llama3_8b_instruct_stateval_15_one-shot-CoT,0.35856,0.41071,0.17969,0.19492,0.10656,0.88803
methods-llama3_8b_sft_16_zero-shot,0.81685,0.88095,0.72266,0.90254,0.61885,0.97683
methods-llama3_8b_stateval_5_0_zero-shot,0.28719,0.03571,0.0,0.18644,0.2582,0.85328
methods-llama3_8b_sft_50_zero-shot,0.82287,0.94048,0.71094,0.91525,0.61066,0.97297
methods-llama3_8b_instruct_stateval_1_5_zero-shot-CoT,0.2141,0.20833,0.16797,0.11441,0.02869,0.52896
methods-llama3_8b_stateval_5_0_one-shot,0.35598,0.29167,0.08203,0.20339,0.26639,0.89189
methods-llama3_8b_instruct_sft_stateval_15_zero-shot,0.84007,0.92857,0.56641,0.90678,0.87705,0.95753
methods-llama2_7b_stateval_15_one-shot-CoT,0.30954,0.04762,0.10938,0.17373,0.45902,0.66023
methods-llama2_7b_sft_stateval_15_zero-shot,0.82975,0.82143,0.59766,0.89407,0.86885,0.96911
methods-llama2_7b_stateval_5_0_zero-shot,0.17971,0.02976,0.02344,0.05508,0.19672,0.52896
methods-llama3_8b_instruct_sft_5_0_zero-shot,0.83319,0.72024,0.67578,0.92797,0.82787,0.98069
methods-llama2_7b_stateval_1_5_stats-prompt,0.26225,0.05357,0.14062,0.1822,0.26639,0.58687
methods-llama2_7b_sft_2_8_zero-shot,0.75322,0.73214,0.55859,0.89831,0.61066,0.96139
methods-llama2_7b_sft_280_zero-shot,0.10576,0.28571,0.125,0.06356,0.07787,0.03475
methods-llama3_8b_sft_stateval_1_5_zero-shot,0.83147,0.97024,0.71875,0.90678,0.62295,0.98069
methods-llama3_8b_instruct_stateval_0_5_stats-prompt,0.35426,0.2619,0.27344,0.25,0.15984,0.7722
methods-llama3_8b_instruct_stateval_1_5_one-shot,0.30181,0.25,0.12109,0.12288,0.15164,0.81853
