model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
columns-llama2_7b_stateval_5_0_one-shot-CoT,0.36887,0.27976,0.29297,0.33051,0.48361,0.42857
columns-llama2_7b_zero-shot,0.31298,0.25,0.26172,0.31356,0.33197,0.3861
columns-llama3_8b_instruct_sft_50_zero-shot,0.91574,0.875,0.87891,0.9322,0.91803,0.96139
columns-llama3_8b_sft_stateval_15_zero-shot,0.94841,0.88095,0.91797,0.97881,0.95902,0.98456
columns-llama3_8b_sft_5_0_zero-shot,0.94411,0.93452,0.88672,0.98305,0.93033,0.98456
columns-llama2_7b_sft_50_zero-shot,0.84523,0.76786,0.79297,0.83051,0.90164,0.90734
columns-llama2_7b_stateval_5_0_zero-shot,0.32846,0.25,0.25,0.35169,0.34016,0.42471
columns-llama3_8b_instruct_sft_stateval_15_zero-shot,0.93723,0.91667,0.89062,0.97034,0.94262,0.96139
columns-llama2_7b_one-shot-CoT,0.43078,0.27976,0.38281,0.39407,0.52869,0.51737
columns-llama2_7b_sft_28_zero-shot,0.84781,0.77976,0.79297,0.84746,0.88525,0.9112
columns-llama3_8b_instruct_stateval_15_zero-shot-CoT,0.74979,0.71429,0.75781,0.75,0.61885,0.88803
columns-llama3_8b_instruct_sft_5_0_zero-shot,0.93551,0.90476,0.89062,0.95763,0.93443,0.98069
columns-llama3_8b_instruct_sft_1_6_zero-shot,0.92261,0.85714,0.88281,0.97034,0.91803,0.96525
columns-llama2_7b_sft_stateval_0_5_zero-shot,0.81169,0.69643,0.83984,0.7839,0.83607,0.861
columns-llama3_8b_stateval_5_0_one-shot-CoT,0.84007,0.72619,0.78125,0.85593,0.86475,0.93436
columns-llama2_7b_stateval_1_5_stats-prompt,0.454,0.32738,0.39844,0.49153,0.48361,0.52896
columns-llama3_8b_instruct_stateval_sft_zero-shot,0.94239,0.92857,0.91016,0.95763,0.94672,0.96525
columns-llama3_8b_stateval_15_zero-shot,0.82373,0.66667,0.75781,0.87288,0.84836,0.92278
columns-llama3_8b_stateval_15_zero-shot-CoT,0.78676,0.64286,0.74609,0.80932,0.7623,0.92278
columns-llama2_7b_stateval_5_0_one-shot,0.46432,0.33929,0.41797,0.44492,0.51639,0.55985
columns-llama2_7b_stateval_0_5_one-shot,0.42906,0.33929,0.46094,0.38136,0.47541,0.4556
columns-llama3_8b_instruct_stateval_15_one-shot-CoT,0.81083,0.7619,0.77344,0.8178,0.7541,0.92664
columns-llama2_7b_sft_16_zero-shot,0.82287,0.67857,0.73047,0.88136,0.86066,0.91892
columns-llama3_8b_instruct_stateval_15_one-shot,0.82287,0.77381,0.80859,0.88136,0.71721,0.91506
columns-llama2_7b_stateval_0_5_one-shot-CoT,0.39639,0.26786,0.38672,0.34746,0.4959,0.44015
columns-llama3_8b_instruct_stateval_5_0_stats-prompt,0.83749,0.75,0.83203,0.91525,0.7418,0.91892
columns-llama3_8b_instruct_stateval_1_5_one-shot-CoT,0.82373,0.77381,0.80469,0.83898,0.7459,0.93436
columns-llama2_7b_stateval_15_stats-prompt,0.4239,0.31548,0.375,0.4322,0.44262,0.51737
columns-llama3_8b_stateval_0_5_one-shot-CoT,0.65434,0.60119,0.62109,0.68644,0.43443,0.89961
columns-llama3_8b_stateval_5_0_zero-shot,0.82545,0.64286,0.75391,0.85169,0.90984,0.9112
columns-llama3_8b_stateval_1_5_one-shot,0.88822,0.80952,0.83594,0.9322,0.90164,0.93822
columns-llama2_7b_sft_5_0_zero-shot,0.81083,0.6131,0.71094,0.89407,0.86475,0.9112
columns-llama3_8b_stateval_15_one-shot-CoT,0.81169,0.67262,0.71484,0.84746,0.85246,0.92664
columns-llama3_8b_instruct_zero-shot-CoT,0.72399,0.67857,0.79297,0.69068,0.65574,0.77992
columns-llama3_8b_stateval_5_0_stats-prompt,0.86156,0.73214,0.77344,0.92373,0.93033,0.9112
columns-llama2_7b_stateval_15_zero-shot,0.28289,0.2381,0.24219,0.27119,0.32787,0.32046
columns-llama3_8b_instruct_sft_stateval_5_0_zero-shot,0.94067,0.92262,0.88281,0.9661,0.95492,0.97297
columns-llama2_7b_stateval_15_zero-shot-CoT,0.19347,0.18452,0.17578,0.15678,0.28689,0.16216
columns-llama3_8b_stateval_15_stats-prompt,0.82803,0.69643,0.74219,0.88983,0.88525,0.88803
columns-llama3_8b_sft_stateval_0_5_zero-shot,0.95959,0.91667,0.94922,0.97458,0.96311,0.98069
columns-llama3_8b_stateval_5_0_zero-shot-CoT,0.80567,0.6369,0.76172,0.83051,0.85656,0.88803
columns-llama3_8b_instruct_one-shot-CoT,0.82889,0.78571,0.80859,0.83475,0.77459,0.92278
columns-llama3_8b_instruct_stateval_15_zero-shot,0.77128,0.72024,0.78125,0.77542,0.66393,0.89189
columns-llama2_7b_zero-shot-CoT,0.26913,0.22619,0.21094,0.27542,0.31967,0.30116
columns-llama2_7b_stateval_15_one-shot-CoT,0.36543,0.29167,0.32422,0.33051,0.46311,0.39382
columns-llama3_8b_instruct_stateval_0_5_stats-prompt,0.82373,0.80357,0.83203,0.84746,0.70902,0.91506
columns-llama3_8b_instruct_stateval_1_5_stats-prompt,0.81513,0.77381,0.82422,0.85593,0.68852,0.91506
columns-llama3_8b_instruct_sft_stateval_0_5_zero-shot,0.95013,0.92262,0.92578,0.97034,0.95492,0.96911
columns-llama3_8b_instruct_stateval_0_5_zero-shot,0.74635,0.67262,0.80469,0.74153,0.65574,0.82625
columns-llama2_7b_sft_8_9_zero-shot,0.82459,0.66071,0.71484,0.91525,0.87295,0.9112
columns-llama3_8b_sft_89_zero-shot,0.85469,0.7381,0.89453,0.84746,0.86475,0.88803
columns-llama3_8b_stateval_0_5_zero-shot,0.81083,0.68452,0.77344,0.82627,0.84016,0.88803
columns-llama2_7b_stats-prompt,0.44454,0.33333,0.39453,0.44492,0.47541,0.53668
columns-llama3_8b_instruct_sft_16_zero-shot,0.94583,0.91667,0.92969,0.95763,0.94262,0.97297
columns-llama3_8b_sft_1_6_zero-shot,0.94755,0.92857,0.88672,0.99153,0.93852,0.98842
columns-llama3_8b_instruct_stats-prompt,0.82459,0.81548,0.83594,0.85593,0.70082,0.90734
columns-llama3_8b_instruct_zero-shot,0.71711,0.70238,0.76953,0.67797,0.62705,0.79537
columns-llama3_8b_zero-shot-CoT,0.62769,0.55952,0.69922,0.56356,0.62295,0.66409
columns-llama2_7b_stateval_15_one-shot,0.42648,0.30952,0.39453,0.39831,0.47951,0.50965
columns-llama2_7b_stateval_5_0_zero-shot-CoT,0.2485,0.22619,0.21484,0.20763,0.31967,0.26641
columns-llama3_8b_stateval_1_5_zero-shot,0.82803,0.69048,0.79688,0.84746,0.85656,0.90347
columns-llama3_8b_stateval_0_5_stats-prompt,0.87446,0.80357,0.82031,0.91949,0.89754,0.9112
columns-llama2_7b_one-shot,0.44712,0.35714,0.42578,0.4322,0.4918,0.49807
columns-llama3_8b_instruct_stateval_5_0_one-shot-CoT,0.82373,0.79167,0.79297,0.83051,0.7459,0.94208
columns-llama2_7b_stateval_1_5_zero-shot,0.33878,0.2619,0.26172,0.38983,0.35246,0.40541
columns-llama3_8b_instruct_stateval_15_stats-prompt,0.82889,0.71429,0.82422,0.91949,0.73361,0.91506
